msa,msa_name,sprawl_1976_92,sprawl_1992,sprawl_1976,central_empl_1977,streetcar_1902,avg_dec_popgr1920_70,sd_dec_popgr1920_70,pc_aquifer_fringe,pc_aquifer_msa,elevat_range_fringe,elevat_range_msa,ruggedness_fringe,ruggedness_msa,cooling_dd,heating_dd,pc_incorp_fringe,pc_incorp_msa,pc_transfers,rest_bars,road_density,popgr_1970_90,herfindahl_incorp,latitude,longitude,division
4880,"McAllen-Edinburg-Mission, TX MSA",64.50,46.62,45.51,22.74799,0,59.054,69.41101,0,0,113,113,.9385321,.9282516,3883.6,788.2,4.716682,5.328639,44.3,1.492825,.6454476,111.2788,.1430845,26.39672,-98.18134,7
4890,"Medford-Ashland, OR MSA",58.60,42.33,43.39,22.13644,0,37.42537,20.58898,13.24297,23.86521,2528,2554,38.98801,41.16484,392.5,5457.17,1.696113,1.174882,36.6,1.914675,.3680328,54.85492,.3037389,42.43217,-122.7284,9
4900,"Melbourne-Titusville-Palm Bay, FL MSA",40.11,34.21,40.68,20.36957,0,120.3522,128.3869,0,0,15,15,.2980976,.3122962,3125,723.5,7.501394,8.854668,38.1,1.313009,1.500332,73.46417,.2727138,28.2935,-80.73222,5
4920,"Memphis, TN-AR-MS MSA",38.07,27.40,28.72,22.54137,161.1833,20.5327,5.68016,0,0,126,133,1.878005,2.122514,1851.6,3347.8,9.543769,12.32538,32.75103,1.057549,.6194769,17.58006,.4392385,35.19061,-89.86535,6
4940,"Merced, CA MSA",61.60,46.47,48.78,21.94009,0,34.23566,12.98561,0,0,1123,1123,6.304111,7.666779,1486.67,2620.33,1.133977,1.371186,44.3,1.490982,.5416179,70.51009,.3005356,37.19262,-120.718,9
4992,"Miami-Fort Lauderdale, FL CMSA",34.11,20.73,20.03,23.81817,0,117.0607,65.63264,99.31768,91.64027,4,4,.059434,.0487496,3972.5,242.625,9.147344,10.12276,18.34494,1.629357,.5256474,69.11108,.0457454,25.81797,-80.53369,5
5082,"Milwaukee-Racine, WI CMSA",59.52,35.33,33.85,22.50793,0,17.83243,8.898275,6.484479,5.910688,204,204,4.066339,4.050441,535.889,7364.67,22.38528,30.14228,38.64218,1.556659,1.518995,2.074085,.0619959,43.09738,-88.15227,3
5120,"Minneapolis-St. Paul, MN-WI MSA",47.20,32.07,31.34,22.67107,166.287,18.50336,6.248274,70.17957,73.3095,192,195,4.065558,4.17801,590.2,8128,23.3455,26.32618,32.91593,1.187143,1.029941,25.26843,.0151007,45.06653,-93.20338,4
5140,"Missoula, MT MSA",73.63,54.73,54.86,22.99531,0,20.48626,15.41697,0,0,1727,1831,56.03334,52.50079,171,8441.33,1.528662,.3914745,20.8,2.505878,.1607236,35.05484,1,47.03648,-113.9238,8
5160,"Mobile, AL MSA",77.70,58.49,56.10,22.76119,0,26.70541,17.51029,0,0,105,122,4.709429,5.099702,2478.5,1723.83,7.993384,7.712665,36.87222,1.107011,.8477194,26.60888,.2806773,30.75298,-87.93095,6
5170,"Modesto, CA MSA",48.66,35.10,37.54,22.16586,0,35.88928,17.36514,0,0,891,1155,9.540204,13.76153,1434.5,2658,1.728763,2.975,40.2,1.542369,.6234803,90.49387,.4075277,37.55919,-120.9977,9
5200,"Monroe, LA MSA",49.75,35.95,37.74,22.74318,0,32.79039,25.10802,0,0,69,73,2.550782,2.632146,2242,2478,2.307692,5.333333,52.4,1.239308,1.110228,23.22965,.5389979,32.47845,-92.15456,7
5240,"Montgomery, AL MSA",63.41,48.59,49.49,22.97048,0,12.17786,5.376222,13.09645,13.12442,205,205,5.324778,6.009393,1970,2452.5,11.39948,8.156877,45.78588,1.257834,.566303,29.55555,.5804718,32.43282,-86.31665,6
5280,"Muncie, IN MSA",70.39,42.72,39.76,21.4812,0,18.11039,3.925143,0,0,77,77,1.08089,1.093293,878,6027,2.902903,6.78128,34.9,1.35429,1.492249,-7.398293,.6818092,40.22752,-85.39694,3
5330,"Myrtle Beach, SC MSA",71.50,63.28,63.79,23.62318,0,17.29629,9.759847,0,0,46,46,.8097977,.8105837,1827,2629,1.243555,1.537071,53.1,2.814607,.8539886,105.8135,.3248751,33.92149,-78.99656,5
5345,"Naples, FL MSA",56.98,52.32,49.78,23.21978,0,69.56414,70.03215,0,0,12,12,.1516218,.1270773,3659.5,349.5,.5810736,.4557292,40.59999,3.049422,.5978511,299.8396,.8673469,26.11691,-81.3445,5
5360,"Nashville, TN MSA",68.22,56.10,57.10,23.25425,0,15.99718,2.2753,47.25834,48.56171,289,289,8.47755,8.736754,1371.22,4112.56,16.15657,17.09134,37.2494,1.257255,1.091589,40.89069,.4545717,36.16465,-86.73436,6
